name,opening_hours,rating,types,vicinity,lat,lng
義爵式創意輕食,營業中: 否,4.1,"restaurant, store, food, point_of_interest, establishment","No, No. 57, 濱山街, 鳳山區",22.6462494,120.351497
蒸鮮腸粉港式飲茶 三民總店,營業中: 否,4.5,"restaurant, food, point_of_interest, establishment",三民區青年路二段529號,22.6466158,120.3479927
235巷Pasta 鳳山文山店,營業中: 否,4.1,"restaurant, food, point_of_interest, establishment",鳳山區文安街58號,22.6436424,120.3481387
韓屋里 韓食家常料理 文山總店,營業中: 否,4.1,"restaurant, food, point_of_interest, establishment",鳳山區文平街97號,22.6426791,120.3506296
五味藏 酒肴屋,營業中: 是,4.3,"bar, restaurant, food, point_of_interest, establishment",鳳山區濱山街46號,22.6459691,120.3515939
文清麵館,營業中: 否,4.1,"restaurant, food, point_of_interest, establishment",鳳山區文清街126號,22.6445192,120.3519781
麥當勞-高雄長庚餐廳,營業中: 否,4.1,"restaurant, food, point_of_interest, establishment",鳥松區大埤路123號B1,22.6492181,120.3551368
達美樂披薩 三民澄清店,營業中: 否,4,"restaurant, food, point_of_interest, establishment",三民區澄清路689號1樓,22.64588879999999,120.3465379
廣招英溫州餛飩 澄清店,營業中: 是,4.1,"restaurant, food, point_of_interest, establishment",三民區澄清路687之2號,22.6458126,120.3465705
鐵人泰式料理,營業中: 否,4.3,"restaurant, food, point_of_interest, establishment",鳳山區濱山街15巷9號,22.645589,120.350317
黃鵲食料研製所,營業中: 否,4.5,"restaurant, food, point_of_interest, establishment",鳳山區濱山街15巷1號,22.64531,120.3506838
沅味巷口飯糰（文山店）,營業中: 否,4,"store, restaurant, food, point_of_interest, establishment",鳳山區青年路二段490號,22.6446793,120.3509305
成家鴨肉麵（總店）,營業中: 否,4.1,"restaurant, food, point_of_interest, establishment",三民區澄清路719號,22.6464716,120.3466509
風見雞日式居酒屋,營業中: 是,3.9,"restaurant, food, point_of_interest, establishment",鳳山區文藝街276號,22.6437189,120.3520802
